SID_MARCHE;ID_MARCHE;DS_MARCHE;SID_CATEGORIE;ID_CATEGORIE;DS_CATEGORIE;SID_FAMILLE;ID_FAMILLE;DS_FAMILLE
174;125;"CREMERIE";2607;361;"DESSERTS CLASSIQUES";12806;7091;"CREME AUX OEUFS"
223;49;"LIBRAIRIE";1687;480;"LIBRAIRIE JEUNESSE";7946;4188;"S'AMUSER - ACTIVITES TX RED."
229;59;"SNACKING LS";1907;230;"SANDWICH";12767;7052;"AUTRE SANDWICH"
216;10;"ACCESSOIRES DE MODE";1783;270;"MAROQUINERIE";8550;5133;"SAC A MAIN FEMME"
139;51;"PHOTO ACCESSOIRES";2344;86;"RANGEMENT / PROTECTION";6955;2100;"PROTECTION OBJECTIFS"
191;155;"SPECTACLES ET CADEAUX";2091;800;"BILLETTERIE LOISIRS";13852;8196;"JEUX DE HASARD"
243;87;"CA NON AFFECTABLE";2556;201;"CA NON AFFECTABLE";12038;6250;"RECYCLAGE CA"
225;55;"VRAC";2057;969;"BOISSONS";9800;9324;"VRAC - BSA"
221;47;"HOMME DESSOUS";1398;337;"CHAUSSETTES";6583;1039;"CHAUSSETTES SPORT DETENTE"
242;86;"DECO DE LA MAISON";1591;730;"DECO DE LA FENETRE";7785;5816;"STORE"
136;31;"FEMME MODE";1444;341;"PANTALON";6698;3012;"PANTALON VILLE"
244;89;"EPICERIE SUCREE GOURMANDE";1886;638;"BISCUITS";9066;1382;"BISCUIT BIO"
198;30;"CUISINE PEM";1572;680;"PREPARATION CULINAIRE";7298;6809;"MIXEUR SEUL"
247;108;"VOYAGES AUCHAN";2554;190;"DECOUVRIR";12013;6225;"CIRCUIT GROUPE"
171;97;"TRAITEUR LS";2601;345;"ENTREE TRAITEUR LS";9172;9682;"ESCARGOTS"
177;129;"BOULANGERIE ATELIER";1951;902;"PETIT DEJEUNER ET GOUTER";9405;345;"BRIOCHE"
219;20;"VINS";1849;250;"CHAMPAGNES";8822;843;"CHAMPAGNES BRUTS"
155;106;"CUISINE";1751;413;"AUTOCUISEURS ET SPECIFIQUES";8317;4124;"FAITOUTS, MARMITES, TRAITEURS"
175;126;"FROMAGE LS";1945;843;"FROMAGE RAPE";12893;7179;"FROMAGE RAPE BIO"
178;177;"CHARCUTERIE LS";2559;208;"PRODUIT TRIPIER";12924;7211;"PRODUIT TRIPIER FROID"
179;178;"CHARCUTERIE STAND";2697;712;"VA JAMBON CUIT";13711;8044;"VA JAMBON NATURE A L'OS"
138;36;"CHAUSSURE";1481;202;"CHAUSSURE FEMME";6849;3875;"ESCARPIN FEMME"
240;80;"BRICOLAGE TRAVAUX";2525;75;"HYDRO-SANITAIRE-GAZ";7775;5821;"DOUCHETTES, FLEXIBLES"
228;58;"CARTERIE - DRUGSTORE";1772;497;"CARTERIE";12633;6908;"CARTES DE VOEUX SAISONNIERE"
173;99;"TRAITEUR STAND";2681;615;"FE ENTREE";13603;7929;"FE COQUILLE ET POISSON FROID"
194;120;"FIOUL ET AUTRES SERVICES";2066;316;"AUTRES SERVICES STATION";9818;9952;"LAVAGE"
141;75;"IMAGE";2361;146;"LECTEUR DVD PORTABLE";7079;4602;"LECTEUR PORTABLE DVD"
207;39;"BOULANGERIE PATISSERIE LS";1960;98;"VIENNOISERIE LS";11488;4271;"PAINS AU CHOCOLAT"
135;27;"ENFANT MODE";1422;869;"PARKA ET BLOUSON GRAND GARCON";6637;2632;"COUPE VENT GRAND GARCON"
180;181;"BOUCHERIE ATELIER";1972;159;"MATIERES PREMIERES BOUCHERIE";11521;4353;"*MP PORC IMPORT"
190;154;"LOCATION OCCASION";2712;767;"OCCASION";13818;8162;"OCCAS OCCUPER SON TEMPS DV"
137;34;"BEBE LAYETTE";1467;481;"CHAUSSURE BEBE";10431;1543;"BOTTINES ET BOTTES"
133;12;"HOMME MODE";1401;896;"ACCESSOIRES";6563;6006;"GANTS CUIR"
234;67;"ENTRETIEN DU LINGE";2657;562;"REPASSAGE";11931;6143;"EAU DE REPASSAGE"
185;217;"CARBURANTS";2622;431;"COMBUSTIBLES";13779;8123;"CLAMC"
205;11;"PHOTO-VIDEO";2352;125;"SERVICES AU CLIENT";11146;3660;"FORMATION - MISE EN SERVICE"
156;107;"ECOLIER BUREAU";1771;495;"ALBUM PHOTOS ET TIMBRES";8480;4988;"ALBUMS DE COLLECTIONS"
193;0;"RAYON INCONNU";2084;0;"SOUS-RAYON INCONNU";10380;176;"INCONNUS KS - ASSAISONNEMENT E"
246;96;"HYGIENE";1817;370;"INCONTINENCE";8720;839;"INCONTINENCE LEGERE"
218;17;"ROTISSERIE";2679;602;"AUTRE VIANDE ROTIE /FARCIE";13592;7918;"BOEUF"
214;3;"ENFANT DESSOUS";2202;163;"CHAUSSANT FILLE";10572;1207;"CHAUSSETTES FANTAISIE FILLE"
143;93;"COMMUNICATION";2183;2;"SERVICES AU CLIENT";11222;3740;"ENTRETIEN"
238;72;"BRICOLAGE DU QUOTIDIEN";1646;414;"DROGUERIE";7666;5709;"CHIFFONS ET LINGETTES"
203;38;"MULTIMEDIA CONSOMMABLES";1604;152;"ENCRE";11011;2024;"TONER COMPATIBLE"
144;104;"GROS ELECTRO";2312;9;"ACCESS ET CONSO ENTRET. SURF";7291;6872;"ACCESSOIRES ET CONSOMMABLES"
215;8;"BEBE EQUIPEMENT";1474;876;"PROMENADE BEBE";6812;1723;"SIEGES AUTO"
172;98;"VOLAILLE";1921;937;"POULET ENTIER";9226;4019;"POULET ENTIER NON FERMIER"
233;66;"JARDIN VEGETAL";2533;144;"FLEURIR TERRASSE BALCON JARDIN";11907;6117;"GERANIUMS"
159;62;"ANIMALERIE ALIMENTATION";1845;330;"ALIMENTS CHAT";13250;7557;"SNACKS CHAT"
148;53;"AUTO MOTO";1667;76;"PRODUITS MOTOS ET SCOOTERS";12701;6986;"HOUSSES ET TEXTILE 2 ROUES"
169;219;"PARAPHARMACIE";2722;903;"FORME ET SANTE";13385;7711;"TONUS / VITALITE TX PLEIN"
151;92;"OPTIQUE";1682;726;"CONTACTOLOGIE";7920;5871;"PRODUIT LENTILLE AUTRES"
164;91;"BOISSONS SANS ALCOOL";2103;534;"SOFTS";8787;988;"BOISSONS LIME"
176;128;"PATISSERIE";2416;590;"VENTE ASSISTEE PATISSERIE";11407;4050;"GOUTER VENTE ASSISTEE"
222;48;"CHAUSSON-ACCESSOIRES CHAUSSURE";1490;211;"CHAUSSON FEMME";6873;3952;"HUMORISTIQUE FEMME"
181;184;"POISSONNERIE LS";2480;892;"PLAT PREPARE";9541;115;"STEAKS DE POISSON"
167;121;"EPICERIE SUCREE DU QUOTIDIEN";2635;479;"FARINE";13190;7488;"FARINE BIO"
199;33;"BEAUTE PEM";2234;539;"AUTRES SOINS CORPS ET VISAGE";10757;2124;"SOIN VISAGE"
146;218;"MULTIMEDIA";1620;775;"ORDINATEUR FIXE";7473;7594;"BUNDLE UC + ECRAN CLASSIQUE"
232;65;"JARDIN GROS EQUIPEMENT";1643;468;"PISCINES EQUIPEMENT";7641;4677;"ABRIS PISCINE"
226;56;"PRESSE";2595;300;"PRESSE MAGAZINE";12542;6761;"MASCULIN"
166;115;"ALCOOLS ET BIERES";1850;302;"WHISKIES";8827;1136;"WHISKEY IRLANDAIS"
42;113;"BIJOUTERIE MAROQUINERIE";299;470;"BIJOUTERIE OR 9 CARATS";945;1088;"DIVERS OR 9 CARATS"
237;71;"BEBE PETITE PUERICULTURE";2720;871;"EQUIPEMENT SOIN BEBE";12052;6264;"MOUCHE BEBE"
160;63;"ENTRETIEN DE LA MAISON";1813;668;"NETTOYANTS SURFACES";8694;931;"NETTOYANTS MEUBLES"
142;79;"MEUBLE";2224;703;"SOLUTION DE COUCHAGE";7105;8022;"LIT ENFANT"
202;43;"IMAGE SON NOMADE ACCESSOIRES";1515;751;"PETIT AUDIO";12279;6492;"REVEIL MECANIQUE"
168;124;"BEBE ALIMENTS ET PUERICULTURE";1821;674;"CHANGE";10458;1832;"LANGE - ALESE"
170;90;"FROMAGE STAND";2675;592;"FE FROMAGE FRAIS ET TARTINABLE";9153;478;"FE FROMAGE FRAIS ET TARTINABLE"
239;74;"EPICERIE SALEE DU QUOTIDIEN";1790;631;"PLATS CUISINES";13072;7367;"PLATS CUISINES COLLECTIVITES"
158;61;"EPICERIE SALEE FAIT MAISON";1796;654;"PRODUITS DU MONDE";8615;791;"CASHER FAIT MAISON"
236;69;"RANGEMENT";1753;402;"TOURS BOITES BACS CORBEILLES";12717;7002;"BACS ET CORBEILLES PLASTIQUES"
206;16;"PHOTO TRAVAUX";2334;60;"DECO CADEAUX";11110;3624;"CALENDRIERS"
183;188;"FRUITS ET LEGUMES FRAIS";2173;96;"CAROTTE / CHOUX / POIREAU";11698;4776;"ROMANESCO"
196;32;"FEMME DESSOUS";1451;263;"NUIT";6715;1425;"PYJAMA LONG"
157;113;"BIJOUTERIE";2583;275;"MONTRES";8559;1099;"MONTRE PRECIEUSE"
174;125;"CREMERIE";2607;361;"DESSERTS CLASSIQUES";12801;7086;"DESSERT CLASSIQUE BIO"
223;49;"LIBRAIRIE";2730;976;"LIVRES DEGRIFFES";7947;4189;"LIVRES DEGRIF.ENFANT TX REDUIT"
229;59;"SNACKING LS";1907;230;"SANDWICH";12765;7050;"CLUB PAIN POLAIRE"
216;10;"ACCESSOIRES DE MODE";1783;270;"MAROQUINERIE";12245;6458;"PETITE MAROQUINERIE ENFANT"
139;51;"PHOTO ACCESSOIRES";2343;77;"KITS D'ENTRETIEN";11117;3631;"KITS D'ENTRETIEN"
191;155;"SPECTACLES ET CADEAUX";2091;800;"BILLETTERIE LOISIRS";13853;8197;"TRANSPORTS"
243;87;"CA NON AFFECTABLE";2556;201;"CA NON AFFECTABLE";12036;6248;"FIDELITE TX REDUIT"
225;55;"VRAC";2507;12;"EPICERIE SALEE";9754;9263;"VRAC - HUILES"
221;47;"HOMME DESSOUS";2515;49;"CODIF EXCEPTIONNELLE";11848;6056;"CODIF EXCEPTIONNELLE"
242;86;"DECO DE LA MAISON";1591;730;"DECO DE LA FENETRE";7789;5892;"BARRE A RIDEAU ET TRINGLERIE"
136;31;"FEMME MODE";1410;708;"SPORT";6596;1206;"JOGGING"
244;89;"EPICERIE SUCREE GOURMANDE";1886;638;"BISCUITS";13204;7503;"BISCUIT PETIT DEJEUNER"
198;30;"CUISINE PEM";1572;680;"PREPARATION CULINAIRE";7309;6845;"MACHINE A PAIN"
247;108;"VOYAGES AUCHAN";2554;190;"DECOUVRIR";12022;6234;"CIRCUIT AUTOCAR"
171;97;"TRAITEUR LS";2601;345;"ENTREE TRAITEUR LS";12728;7013;"SOUPE"
177;129;"BOULANGERIE ATELIER";1951;902;"PETIT DEJEUNER ET GOUTER";11450;4233;"CHAUSSONS"
219;20;"VINS";2629;471;"BIB / CUBI";13047;7340;"BIB CUBITAINERS"
155;106;"CUISINE";1751;413;"AUTOCUISEURS ET SPECIFIQUES";8316;4117;"PCS DETACHEES ET ACCESSOIRES"
175;126;"FROMAGE LS";1945;843;"FROMAGE RAPE";9352;58;"EMMENTAL RAPE"
178;177;"CHARCUTERIE LS";2619;396;"SEC ENTIER";12903;7189;"CHORIZO ENTIER"
179;178;"CHARCUTERIE STAND";2697;712;"VA JAMBON CUIT";13709;8042;"VA EPAULE"
138;36;"CHAUSSURE";1481;202;"CHAUSSURE FEMME";12196;6409;"CHAUSSURE FEMME CASUAL"
240;80;"BRICOLAGE TRAVAUX";2525;75;"HYDRO-SANITAIRE-GAZ";7781;5867;"ROBINETTERIE ET ACCESSOIRES"
228;58;"CARTERIE - DRUGSTORE";2159;41;"DRUGSTORE";8391;1065;"DRUGSTORE DECO ENFANT"
173;99;"TRAITEUR STAND";2681;615;"FE ENTREE";13600;7926;"FE FEUILLETE GARNI"
194;120;"FIOUL ET AUTRES SERVICES";2066;316;"AUTRES SERVICES STATION";9877;2334;"ASPIRATEUR"
141;75;"IMAGE";2275;760;"VIDEO PROJECTEUR";10889;2450;"VIDEO PROJECTEUR DE POCHE"
207;39;"BOULANGERIE PATISSERIE LS";1957;910;"PAIN DE MIE LS";11484;4267;"PAIN DE MIE AVEC CROUTE"
135;27;"ENFANT MODE";1425;389;"MANTEAU BLOUSON PETITE FILLE";6647;1120;"COUPE VENT/IMPER PETITE FILLE"
180;181;"BOUCHERIE ATELIER";2430;745;"COLIS DE VIANDE A PARTAGER";11499;4282;"COLIS AUTRE"
190;154;"LOCATION OCCASION";2712;767;"OCCASION";13816;8160;"OCCAS PROD HORS HYPER VENTE"
137;34;"BEBE LAYETTE";1469;875;"CONFECTION BEBE FILLE";10513;1628;"SHORT"
133;12;"HOMME MODE";1401;896;"ACCESSOIRES";6564;6007;"ECHARPE"
234;67;"ENTRETIEN DU LINGE";2657;562;"REPASSAGE";11932;6144;"ACCESSOIRES DE REPASSAGE"
185;217;"CARBURANTS";2704;749;"ESSENCE";13774;8118;"SP98"
205;11;"PHOTO-VIDEO";2263;280;"APPAREIL PHOTO";10855;2051;"APPAREIL PHOTO COMPACT EXPERT"
156;107;"ECOLIER BUREAU";1760;490;"AGENDAS & CALENDRIERS";12600;6864;"AGENDAS ANNUELS TX REDUIT"
193;0;"RAYON INCONNU";2084;0;"SOUS-RAYON INCONNU";10414;403;"ARRIVAGE DESTOCKAGE PF 19,6   "
246;96;"HYGIENE";2518;63;"PARAPHARMACIE";11864;6072;"PANSEMENTERIE"
218;17;"ROTISSERIE";2679;602;"AUTRE VIANDE ROTIE /FARCIE";13591;7917;"VEAU"
214;3;"ENFANT DESSOUS";2202;163;"CHAUSSANT FILLE";6672;2793;"COLLANTS UNIS"
143;93;"COMMUNICATION";2183;2;"SERVICES AU CLIENT";11221;3739;"LIVRAISON"
238;72;"BRICOLAGE DU QUOTIDIEN";1646;414;"DROGUERIE";12661;6942;"ADHESIFS DOUBLE FACE"
203;38;"MULTIMEDIA CONSOMMABLES";1604;152;"ENCRE";7417;2217;"CARTOUCHE ENCRE D'ORIGINE"
144;104;"GROS ELECTRO";2313;11;"LAVE LINGE SECHANT";7243;4647;"LAVE LINGE SECHANT ENCASTRABLE"
215;8;"BEBE EQUIPEMENT";1474;876;"PROMENADE BEBE";6811;1722;"PORTE BEBE"
172;98;"VOLAILLE";1921;937;"POULET ENTIER";11377;3955;"POULET ENTIER BIO"
233;66;"JARDIN VEGETAL";2533;144;"FLEURIR TERRASSE BALCON JARDIN";7605;5827;"PLANTES VIVACES FLEURIES"
159;62;"ANIMALERIE ALIMENTATION";1806;626;"ALIMENTS CHIEN";8821;1889;"SNACKS CHIENS"
148;53;"AUTO MOTO";1667;76;"PRODUITS MOTOS ET SCOOTERS";7828;4355;"PRODUITS ENTRETIEN 2 ROUES"
169;219;"PARAPHARMACIE";2722;903;"FORME ET SANTE";13377;7703;"MENOPAUSE TX PLEIN"
151;92;"OPTIQUE";1682;726;"CONTACTOLOGIE";7918;5866;"PRODUIT LENTILLE RIGIDE"
164;91;"BOISSONS SANS ALCOOL";2103;534;"SOFTS";13024;7316;"BOISSONS AUX FRUITS GAZEUSES"
176;128;"PATISSERIE";2121;118;"APERO RECEPTION";10101;1642;"RETRAIT E-COMMERCE"
222;48;"CHAUSSON-ACCESSOIRES CHAUSSURE";1479;445;"CODIFICATION EXCEPTIONNELLE";6841;1050;"CODIFICATION EXCEPTIONNELLE"
181;184;"POISSONNERIE LS";2478;895;"SURIMI";9540;113;"SURIMI BATONNET"
167;121;"EPICERIE SUCREE DU QUOTIDIEN";2635;479;"FARINE";9005;682;"FARINE CLASSIQUE"
199;33;"BEAUTE PEM";2232;466;"TONDEUSE CHEVEUX";7316;5415;"TONDEUSE CHEVEUX FILAIRE"
146;218;"MULTIMEDIA";1620;775;"ORDINATEUR FIXE";11021;2039;"TABLE TACTILE"
232;65;"JARDIN GROS EQUIPEMENT";1634;522;"MOTOCULTURE";12317;6530;"SCARIFICATEURS - EMOUSSEURS"
226;56;"PRESSE";2595;300;"PRESSE MAGAZINE";12550;6770;"PRESSE FEMININE"
166;115;"ALCOOLS ET BIERES";1850;302;"WHISKIES";8828;1141;"SPIRITUEUX BASE WHISKY"
42;113;"BIJOUTERIE MAROQUINERIE";299;470;"BIJOUTERIE OR 9 CARATS";1995;4704;"COU OR 9 CARATS"
237;71;"BEBE PETITE PUERICULTURE";2557;204;"EQUIPEMENT REPAS BEBE";6826;1703;"VAISSELLE ET COUVERT"
160;63;"ENTRETIEN DE LA MAISON";1813;668;"NETTOYANTS SURFACES";8702;915;"JAVEL"
142;79;"MEUBLE";2224;703;"SOLUTION DE COUCHAGE";7104;8021;"LIT ADULTE"
202;43;"IMAGE SON NOMADE ACCESSOIRES";1515;751;"PETIT AUDIO";6987;7515;"RADIO REVEIL"
168;124;"BEBE ALIMENTS ET PUERICULTURE";1821;674;"CHANGE";12073;6285;"CULOTTE PISCINE"
170;90;"FROMAGE STAND";2675;592;"FE FROMAGE FRAIS ET TARTINABLE";9146;56;"FE FROMAGE FRAIS/TARTINAB. BIO"
239;74;"EPICERIE SALEE DU QUOTIDIEN";1790;631;"PLATS CUISINES";13074;7369;"PLATS INDIV QUENELLES GARNIT"
158;61;"EPICERIE SALEE FAIT MAISON";1796;654;"PRODUITS DU MONDE";13119;7415;"AMERIQUE DU SUD FAIT MAISON"
236;69;"RANGEMENT";1753;402;"TOURS BOITES BACS CORBEILLES";12720;7005;"ENTRETIEN LINGE MIGRATION 2014"
206;16;"PHOTO TRAVAUX";2339;71;"SERVICES NUMERIQUES";11113;3627;"NUMERISATION"
183;188;"FRUITS ET LEGUMES FRAIS";2038;991;"FRUITS D'ETE";13496;7822;"NECTARINE"
196;32;"FEMME DESSOUS";1451;263;"NUIT";6716;1478;"CHEMISE DE NUIT"
157;113;"BIJOUTERIE";2583;275;"MONTRES";8563;5165;"MONTRE FEMME"
174;125;"CREMERIE";2607;361;"DESSERTS CLASSIQUES";12804;7089;"CREME BRULEE"
223;49;"LIBRAIRIE";1687;480;"LIBRAIRIE JEUNESSE";7949;9906;"EVEIL"
229;59;"SNACKING LS";1907;230;"SANDWICH";9166;382;"BAGUETTE"
216;10;"ACCESSOIRES DE MODE";1783;270;"MAROQUINERIE";8549;5132;"SAC HOMME"
139;51;"PHOTO ACCESSOIRES";2345;101;"FILMS PHOTOS";6914;6322;"FILMS PHOTOS"
191;155;"SPECTACLES ET CADEAUX";2091;800;"BILLETTERIE LOISIRS";13851;8195;"SALONS"
243;87;"CA NON AFFECTABLE";2556;201;"CA NON AFFECTABLE";12039;6251;"INCONNUS CAISSES"
225;55;"VRAC";2507;12;"EPICERIE SALEE";9742;9251;"VRAC - RIZ, LEG SECS, OLIVES"
221;47;"HOMME DESSOUS";1398;337;"CHAUSSETTES";6549;2211;"MI BAS LAINE"
242;86;"DECO DE LA MAISON";1756;419;"COUSSIN ET OBJETS DECO";7370;1875;"GALETTE DE CHAISE BAS DE PORTE"
136;31;"FEMME MODE";1410;708;"SPORT";6597;1208;"PANTALON DE JOGGING"
244;89;"EPICERIE SUCREE GOURMANDE";1886;638;"BISCUITS";13201;7499;"TARTELETTE"
198;30;"CUISINE PEM";2251;576;"PREPARATION BOISSONS FROIDES";11037;3551;"ACC PREP DES BOISSONS FROIDES"
247;108;"VOYAGES AUCHAN";2554;190;"DECOUVRIR";12012;6224;"CIRCUIT ASSOCIATION"
171;97;"TRAITEUR LS";2601;345;"ENTREE TRAITEUR LS";12726;7011;"CREPE ET GALETTE GARNIES"
177;129;"BOULANGERIE ATELIER";1951;902;"PETIT DEJEUNER ET GOUTER";11452;4235;"MINI VIENNOISERIE"
219;20;"VINS";2629;471;"BIB / CUBI";9889;1592;"BIB ROUGES"
155;106;"CUISINE";1751;413;"AUTOCUISEURS ET SPECIFIQUES";10343;1369;"COCOTTES ET MINI-COCOTTES"
175;126;"FROMAGE LS";2179;108;"FROMAGE FRAIS ET TARTINABLE";12879;7165;"FROMAGE FRAIS / TARTINABLE BIO"
178;177;"CHARCUTERIE LS";2619;396;"SEC ENTIER";12906;7192;"SAUCISSE DROITE SECHE"
179;178;"CHARCUTERIE STAND";2697;712;"VA JAMBON CUIT";13712;8045;"VA JAMBON NATURE TORCHON"
138;36;"CHAUSSURE";1483;200;"CHAUSSURE FILLE";6860;3895;"CHAUSSURE BASSE FILLE"
240;80;"BRICOLAGE TRAVAUX";2525;75;"HYDRO-SANITAIRE-GAZ";11886;6094;"ACCESSOIRES MACHINE A LAVER"
228;58;"CARTERIE - DRUGSTORE";2159;41;"DRUGSTORE";12558;6778;"DRUGSTORE DECO GRAPHIQUE"
173;99;"TRAITEUR STAND";2681;615;"FE ENTREE";13602;7928;"FE TERRINE"
194;120;"FIOUL ET AUTRES SERVICES";2085;870;"FIOUL";9855;2330;"FIOUL"
141;75;"IMAGE";2269;743;"ENREGISTREUR ET MEDIACENTER";9871;1330;"ENREGISTREUR"
207;39;"BOULANGERIE PATISSERIE LS";1957;910;"PAIN DE MIE LS";11487;4270;"PAIN TOAST"
135;27;"ENFANT MODE";1425;389;"MANTEAU BLOUSON PETITE FILLE";10610;980;"MANTEAU/PARKA PETITE FILLE"
180;181;"BOUCHERIE ATELIER";2428;739;"AUTRE BOUCHERIE";11497;4280;"APERO RECEPTION"
190;154;"LOCATION OCCASION";2712;767;"OCCASION";13814;8158;"OCCASION PRODUITS HYPER VENTE"
137;34;"BEBE LAYETTE";1464;243;"CONFECTION NOUVEAU NE";6770;1194;"OVERCOAT-MANTEAU-IMPER-BLOUSON"
133;12;"HOMME MODE";1401;896;"ACCESSOIRES";12139;6352;"CHAPEAU"
234;67;"ENTRETIEN DU LINGE";2658;563;"SOIN DES CHAUSSURES";8712;930;"IMPERMEABILISANT CHAUSSURES"
185;217;"CARBURANTS";2704;749;"ESSENCE";13776;8120;"SP95"
205;11;"PHOTO-VIDEO";1504;135;"PERIPHERIQUES DE PRISE DE VUE";10854;2049;"OBJECTIF HYBRIDE"
156;107;"ECOLIER BUREAU";1761;493;"ARTICLES ECOLIERS";8426;4951;"CRAYONS DE COULEUR"
193;0;"RAYON INCONNU";2084;0;"SOUS-RAYON INCONNU";10355;29;"INCONNUS KS - CONSOMMABLE VE  "
246;96;"HYGIENE";2518;63;"PARAPHARMACIE";11860;6068;"PROTECTION SPORT"
218;17;"ROTISSERIE";1925;436;"POULET ROTI";9234;4965;"POULET ENTIER"
214;3;"ENFANT DESSOUS";2202;163;"CHAUSSANT FILLE";10571;1209;"CHAUSSETTES SPORT FILLE"
143;93;"COMMUNICATION";2183;2;"SERVICES AU CLIENT";11220;3738;"FORMATION - MISE EN SERVICE"
238;72;"BRICOLAGE DU QUOTIDIEN";1651;723;"PILES ET CHARGEURS";12670;6954;"ACCUS HR6"
203;38;"MULTIMEDIA CONSOMMABLES";1604;152;"ENCRE";11321;3882;"DEPOT VENTE CARTOUCHE"
144;104;"GROS ELECTRO";2313;11;"LAVE LINGE SECHANT";7249;4685;"LAVE LINGE SECHANT CHT DEVANT"
215;8;"BEBE EQUIPEMENT";1474;876;"PROMENADE BEBE";12064;6276;"POUSSETTES MULTIPLACES"
172;98;"VOLAILLE";2399;543;"LAPIN";11333;3898;"DECOUPE DE LAPIN"
233;66;"JARDIN VEGETAL";2533;144;"FLEURIR TERRASSE BALCON JARDIN";11909;6119;"COMPOSITIONS TAUX PLEIN"
159;62;"ANIMALERIE ALIMENTATION";1806;626;"ALIMENTS CHIEN";13259;7571;"CHIEN - ALIM A PREP TX INTERM."
148;53;"AUTO MOTO";1673;786;"CONFORT INTERIEUR";7832;4309;"TAPIS AUTO"
169;219;"PARAPHARMACIE";2722;903;"FORME ET SANTE";13381;7707;"CIRCULATION TX PLEIN"
151;92;"OPTIQUE";1682;726;"CONTACTOLOGIE";13270;7585;"LENTILLE COLOREE"
164;91;"BOISSONS SANS ALCOOL";2103;534;"SOFTS";9060;760;"BOISSONS ENERGIE POUDRE"
176;128;"PATISSERIE";2121;118;"APERO RECEPTION";9378;192;"PETITS FOURS SALES"
